"gene_symbol","log2_fold_change","adj_p_value","avg_expression","t_statistic"
"DDR1",0.317780394102564,0.368649978288305,1.22040894092593,1.67784384664526
"RFC2",-0.0802648730769231,0.469328269413963,0.961919358333333,-1.40641086486003
"HSPA6",-0.188740742820513,0.890544954886725,1.3897121587037,-0.432120291802978
"PAX8",-0.0337091224102564,0.706330462812429,1.08599683462963,-0.889308139493508
"GUCA1A",-0.706285390461539,0.588167563391969,2.06474984555556,-1.14508947915527
"UBA7",0.17061911948718,0.440525660606786,1.15244540703704,1.47633113550358
"THRA",0.02225923,0.942779368156383,1.32394769277778,0.242294913594185
"PTPN21",0.080099525948718,0.422351579602104,1.05413526037037,1.52695597513858
"CCL5",-0.04783363,0.936036628114697,1.29457729055556,-0.268396778222078
"CYP2E1",-0.213527988820513,0.460955105922042,0.861842865925926,-1.4281823712088
"EPHB3",-0.254247580358974,0.413931454336003,1.18222198314815,-1.5510115412629
"ESRRA",-0.0477517575897437,0.735889491154991,0.792945813148148,-0.825232216086339
"CYP2A6",0.0136355922051282,0.86622357302972,0.896840386296296,0.50385414061561
"SCARB1",0.0557128295897437,0.757525373502062,1.02587507907407,0.774217679639883
"TTLL12",-0.0618884729743591,0.721096670648907,0.912596113148148,-0.856663766163933
"WFDC2",-0.00493447512820514,0.966385448284848,0.983439657592593,-0.149216298357956
"MAPK1",-0.00213277502564097,0.995943603809339,1.19384828018519,-0.0197533351705519
"MAPK1",-0.414707384923077,0.53800417563399,1.60822034444444,-1.25500392726127
"ADAM32",-0.0292804490256411,0.781589109436999,1.0083411262963,-0.718806855327173
"SPATA17",0.0162810097435898,0.468714654362016,0.492324176296296,1.40818494267274
"PRR22",0.00111704066666666,0.975256441592484,0.318610382407407,0.113927290440024
"PRR22",-0.0016368247692308,0.989776989016761,0.701720653888889,-0.0506058285857445
"PXK",0.269405449692308,0.685002872929539,1.28172459277778,0.933361773561725
"PXK",0.298337845846154,0.611253412796574,1.20318084666667,1.09481574542673
"VPS18",-0.0571387112820513,0.765361522109491,0.833479317037037,-0.755036348561023
"MSANTD3",-0.149825345230769,0.264952178383865,0.954025504444444,-2.03637603555329
"SLC46A1",-0.0670669003589744,0.342846740514511,0.666935106481481,-1.75816288234187
"SLC46A1",-0.0404982277435898,0.81590207155694,1.03479755203704,-0.639786893747906
"TIMD4",0.00562762820512823,0.805283411882711,0.482264671851852,0.664897302076733
"SLC39A5",-0.00660816584615391,0.944821370311921,0.872762088888889,-0.234993016296635
"ZDHHC11",0.319404507282051,0.365529249550264,1.16001780962963,1.68721430039864
"ATP6V1E2",-0.0765650744615386,0.577682512447016,0.870499142222222,-1.16677396072627
"AFG3L1P",0.15951368548718,0.347644935574867,1.07931181092593,1.74150696653709
"CILP2",-0.098120938820513,0.173417623813438,0.987878243148148,-2.58266396016906
"CILP2",0.00262572600000002,0.936795018603511,0.376056168333333,0.266475753333565
"PIGX",-0.0715937732307693,0.601907396210621,1.11737504,-1.11411487592273
"TMEM196",-0.0513859444102565,0.771871564346437,0.778182612962963,-0.740491051658099
"SLC39A13",0.0144065727179487,0.924671054909952,0.812410753703704,0.31330893556939
"BEST4",0.148616567282051,0.416338188602086,0.721200261851852,1.54489564191823
"AK9",0.0233812984615385,0.945939672720107,1.08017779333333,0.230901912570192
"CORO6",-0.0396597674358975,0.870540818337897,0.69120553537037,-0.490255629808332
"TMEM106A",0.188240882307692,0.589040162085642,1.32937467833333,1.14300274552822
"TMEM106A",0.282476827179487,0.104512035460778,1.12992942481481,3.22804086865651
"ALG10",0.00194643620512819,0.950358334906717,0.488106611851852,0.211359737886384
"ALG10",-0.00466594728205127,0.966916241190095,0.967905148148148,-0.147294696466065
"TTC39C",-0.014580218,0.646483668624224,0.450526859444444,-1.01806349082902
"NEXN",0.514363044871795,0.331039220613954,1.04527931203704,1.79701543259559
"C15orf40",-0.0535977532307693,0.742527170452482,0.989568521111111,-0.810569865759015
"RAX2",-0.0441429956923078,0.44975460360459,1.01625543444444,-1.455187802018
"MFAP3",-0.141006856307692,0.568135664468531,0.998967671111111,-1.18913445457632
"EYA3",0.0808360594871795,0.419971966095217,1.10585427481481,1.53419564189989
"GIMAP1",0.0880062088717949,0.716578115292612,1.18726807759259,0.866870057431506
"GIMAP1",0.0395558959487179,0.952862943648825,1.19471463759259,0.200985328952106
"GIMAP1",0.121791344358974,0.755593034751615,1.43406377796296,0.780661798847194
"KLK8",-0.0403834374871795,0.683600576848848,1.04983095462963,-0.93550316227348
"DRC2",0.0688447995897436,0.572930319388624,1.05767936851852,1.17743928998784
"DRC2",0.124539350923077,0.274418509837505,1.03338177722222,1.99506368928195
"PABIR3",-0.0146114381025641,0.756172075454918,0.521788377962963,-0.778431561357662
"PABIR3",-0.0269277654358974,0.943776889387579,1.21861465925926,-0.238515304965467
"CFAP53",-0.0132345871794872,0.942805717747848,1.04033667962963,-0.242173192009833
"CFAP53",0.957225308205129,0.383564302058894,1.63279458407407,1.63455502165863
"ARMCX4",0.0867568567692308,0.651985138291671,0.945795566111111,1.00484320450249
"RBBP6",0.111867613846154,0.593502969787541,1.27924264333333,1.13322785761757
"CENPBD1P",-0.172734404820513,0.305830076713418,0.984881307037037,-1.88029822557368
"TRIOBP",0.00458438112820505,0.936983694944478,0.772302244074074,0.26525666075515
"TRIOBP",0.212074104871795,0.47620983053712,1.2667823887037,1.39195859199816
"CATSPER1",-0.0105452408205128,0.600766040853381,0.412812405925926,-1.11652669157243
"HOXD4",0.00727750866666666,0.674793340264081,0.430597270185185,0.952827810725229
