"gene_symbol","Control_GSM300168","Control_GSM300169","Control_GSM300170","Control_GSM300171","Control_GSM300172","Control_GSM300174","Control_GSM300178","Control_GSM300182","Control_GSM300185","Control_GSM300187","Control_GSM300190","Control_GSM300193","Control_GSM300197","Control_GSM300205","Control_GSM300209","Control_GSM300215","Control_GSM300219","Control_GSM300223","Control_GSM300227","Control_GSM300231","Control_GSM300235","Control_GSM300239","Control_GSM300243","Control_GSM300255","Control_GSM300262","Control_GSM300268","Control_GSM300272","Control_GSM300276","Control_GSM300280","Control_GSM300286","Control_GSM300290","Control_GSM300294","Control_GSM300298","Control_GSM300301","Control_GSM300305","Control_GSM300309","Control_GSM300313","Control_GSM300317","Control_GSM300321","Control_GSM300325","Control_GSM300329","Control_GSM300333","Control_GSM300339","AD_GSM1176211","AD_GSM1176212","AD_GSM1176213","AD_GSM1176214","AD_GSM1176215","AD_GSM1176216","AD_GSM1176217","AD_GSM1176218","AD_GSM1176219","AD_GSM1176220","AD_GSM1176221","AD_GSM1176222","AD_GSM1176223","AD_GSM1176224","AD_GSM1176225","AD_GSM1176226","AD_GSM1176227","AD_GSM1176228","AD_GSM1176229"
"KRT86",0.96225727,0.9277768,0.9615113,0.9273053,1.1386523,0.91588986,0.8795645,1.080907,0.9457199,0.8660306,0.92459136,0.85238224,1.0191686,0.88273096,0.93284565,0.88490343,0.95281476,0.90709925,1.0883353,0.78151435,0.9019676,0.8792317,0.897374,0.7214021,0.68808544,0.90984803,0.88089633,0.8323119,0.958235,0.92127496,0.9397511,1.0907633,0.9397511,0.8557737,0.923368,0.8921287,0.89941263,0.8671776,0.91519773,0.87013453,0.8202799,0.8315251,1.1778094,0.9291218,0.68999755,0.6818259,0.5677226,0.8657696,0.80411893,0.6476409,0.7340128,0.70303744,0.7109253,0.7037022,0.8358461,1.098947,0.75785065,0.71835804,0.7010459,0.630481,0.86257553,0.67809707
"CPED1",0.73013496,0.7056812,0.68082404,0.69932836,0.7905733,1.1468536,0.91177064,1.3491396,0.6695773,1.4051238,1.2484869,1.3979677,1.2744886,1.1852192,1.2560648,1.34303,1.1603799,1.0846261,0.7939149,1.1971575,1.2151769,1.1762868,1.092242,0.82565075,0.7914565,1.1093112,1.107634,1.5724666,1.2165562,1.1767317,1.1625761,1.3619574,1.145553,1.2290434,1.1135142,1.0943092,1.2073889,1.1477218,1.1311305,1.3415073,1.3201162,1.1740648,1.1610382,1.5233244,1.5623845,1.7537543,1.29542,1.3712572,1.4993639,1.1294174,1.2579633,1.3929507,1.2076143,2.0456038,1.2917126,1.399018,1.2048767,1.4376428,1.8869165,1.4543234,1.3025317,2.0042498
"BCL2",1.067579,1.5025243,1.3352778,1.1855842,1.3540573,0.8266355,1.3986689,1.5605133,1.4639027,1.7279671,1.4777969,1.4686022,0.6056362,1.0917573,0.7632306,1.1210476,1.1925608,1.3745465,1.1520319,1.2157868,1.0684729,1.041736,0.6668309,1.7222593,1.1632408,0.99890774,1.291388,0.7792739,0.441795,1.1132308,0.3950779,0.66318405,0.66695684,0.8230481,1.2063968,0.87076277,0.747235,0.8758823,0.68952924,1.5759367,1.3965546,2.3003635,1.3523718,1.9906416,2.3902316,1.6986933,2.0769978,1.4396329,1.2017235,2.300646,2.1350546,1.4137341,1.3640974,2.0773034,0.8527792,2.488532,1.7701869,1.0096662,1.4835793,2.3233821,1.7054398,1.7003003
"PLEKHB2",1.0845078,1.0897533,1.0796813,1.0652236,1.1162559,1.0986738,0.8815987,0.85241634,0.9757838,0.61468244,0.5399986,0.7167033,1.1298578,1.0961839,1.0762595,0.82466805,0.98491466,1.0750388,1.0001917,0.85128844,0.8485563,0.909196,0.9206155,0.4237064,0.7297251,0.8639386,0.8706633,1.2518083,0.9758299,1.0355297,1.096806,1.1812024,1.1588563,0.8427991,0.86198014,1.1876981,0.95141166,1.2456684,0.85953844,0.7102269,0.809373,0.66776407,1.0178626,0.78556067,0.588252,0.6193023,0.54301935,0.86977327,0.63415986,0.59959537,0.23125553,0.7530503,0.51883507,0.6064374,0.93087226,0.46026397,0.62707967,1.012025,0.7224992,0.7303294,0.451625,0.8583357
"SLC43A3",0.9651155,0.8311963,1.4406444,2.1060991,1.1409279,1.5405647,2.0664563,1.4918253,1.2045194,1.4713727,2.1751208,2.2761152,1.2797096,1.1351204,0.86403096,1.5899936,1.8177872,1.7397586,1.2472863,0.90295386,1.6194302,1.5720545,1.3523626,0.93309295,0.97827274,1.3053741,1.8545929,0.77412784,0.98260087,0.95819545,0.7361498,0.76510435,0.5051814,1.5020165,1.6888636,1.417298,1.0512289,1.347767,1.604493,1.2160087,1.8867843,2.2873337,1.6188179,2.1529315,3.4369595,3.3414662,1.8017764,1.3937103,1.7053763,1.9726202,1.6635857,2.0537007,1.4873904,2.9023569,1.2933959,2.1593986,2.0072403,1.619201,1.9192644,4.1571527,2.2136283,2.8848484
"SORBS1",1.1267829,1.4378364,1.5706948,1.1736022,1.2028719,0.86518514,1.1715529,1.2933481,1.2463979,1.1467832,1.0711076,1.7646289,0.7716512,0.7925039,0.83543986,1.3572458,0.8007894,1.1986701,1.3664247,0.81422734,1.685373,1.3452334,0.4939452,1.4287999,1.0611262,0.91102403,1.1829066,0.47381672,0.5425184,1.0443045,0.47051275,0.8082444,0.6933236,0.7289541,0.6200086,0.90159863,0.8499416,0.92211854,0.59699667,1.1168201,1.557571,1.6258895,1.1332014,1.4831454,2.3447843,1.979691,1.7439935,1.1289496,1.912013,1.5623267,2.0794635,1.8406761,1.6121491,1.5252522,1.102158,1.4635069,1.2713099,1.0139705,1.5852412,2.0912936,1.010206,1.293867
"CASK",0.74696714,0.95361,1.0256344,0.87557787,0.9405448,0.7314846,0.7951043,1.0331722,0.90254277,0.90148383,1.083806,1.098456,0.9860228,0.9124614,0.9681003,0.9008019,0.9183467,0.857907,0.8924666,0.86802447,0.9265453,0.89114404,1.0580864,0.7663507,0.7211315,0.92008483,0.9088442,0.86409414,0.94637847,0.857258,0.90114266,0.950145,0.95356464,0.860669,0.8909756,0.90936,0.91349643,0.81674534,0.88794804,0.9008022,0.8626248,0.85208595,0.9488882,1.0714294,1.3330008,0.903594,0.9264423,1.0941774,1.64534,1.0797887,1.0217793,1.1839569,0.9667036,1.4599383,0.9595999,0.84402466,0.999042,0.96834993,1.5364183,1.2818283,0.983858,1.024101
"DTNA",0.6495298,0.86551625,0.46791777,0.46194407,0.28202105,0.59143615,2.0934289,1.803942,0.31574813,1.1026585,0.84665537,3.3108473,1.1032838,1.682036,0.828128,1.8763142,0.7848255,1.9828386,0.14184594,1.0320376,2.288448,1.5483258,0.6535399,1.9971023,1.5565267,1.5407324,1.7581387,0.824067,0.90527433,1.4401485,0.74224067,0.95739436,0.67757726,1.1536384,0.8577751,1.6960894,1.5784826,1.6677815,0.8198697,1.4415108,3.634367,4.0121965,2.1217268,3.2159762,4.2002525,3.465376,4.247,1.6301198,2.166724,2.9664707,4.7559147,3.046634,1.8142815,1.9538858,0.84941703,3.3726265,0.91149676,2.0006225,3.5241933,3.197759,3.0623696,1.5699152
"ALKBH6",1.325336,1.0600165,1.1642698,1.1532567,1.2477498,1.7007486,0.9057039,1.026686,1.2631828,1.097148,0.593959,0.6406311,1.1768876,0.81561816,1.3460046,0.9233437,1.132564,0.9000698,1.1398283,0.7553397,0.8382922,0.6734259,0.8635547,0.6503707,0.91804,0.97355276,0.9882064,1.3293097,1.1984476,1.1145041,0.7318579,1.0580263,1.01376,0.8408327,1.2013981,0.96621644,1.0044092,1.093833,0.98914117,0.7357436,0.98802,0.57418954,0.8790426,0.54145133,0.51131487,0.71081597,0.59738696,1.0545765,0.5668523,0.6308611,0.6019571,0.5602177,0.7200157,0.56779015,1.0875901,0.59511554,0.6319358,0.97442436,0.457852,0.65952915,0.64833254,0.76319873
"LTBP1",1.2892494,1.4603292,1.6345768,2.101648,1.2041026,1.2574192,1.2137303,1.3907691,1.5453546,1.1757761,0.7301997,2.4503698,1.4733452,0.6362851,0.7005764,1.786463,1.2247982,1.1860493,1.4686023,1.7214587,2.316537,1.6314436,1.5945368,1.9158734,1.107487,1.1853762,1.5738655,1.0928001,0.8061113,1.752996,0.9883938,0.6352031,0.70709795,1.972557,1.8574306,1.352129,1.001376,1.428893,1.6575661,1.6528708,1.9822794,1.8402976,1.7639712,2.294864,2.96318,3.5624747,2.738465,1.3122853,3.225002,3.580033,3.5671918,2.6189537,1.1532782,1.4065967,1.1267624,1.9781908,2.6378407,1.1098441,2.0173886,3.7243626,2.0268092,1.5367607
"TYSND1",0.7677896,0.692561,0.7116781,0.6959113,0.9623206,0.6872044,0.7140989,0.6862954,0.71446157,0.76657903,0.6900697,0.6431925,0.67573506,0.69741654,0.69268453,0.5621667,0.687855,0.7367321,0.6937879,0.6229613,0.67791116,0.78091735,0.62626874,0.97368705,0.86609447,0.64477575,0.6486893,0.67076993,0.69702053,0.6457518,0.6539857,0.89026815,0.705108,0.8000512,0.67765474,0.64465374,0.664583,0.59307235,0.6875948,0.6639549,0.6336549,0.6456297,0.6663451,0.95255417,0.7790658,0.76809406,0.8756571,0.8217399,0.8669873,0.75498915,0.8439458,0.7749515,0.7916898,0.78735965,0.7864669,0.90502936,0.7930384,0.78157413,0.87399405,0.98886913,0.82730836,0.7633158
"S1PR3",0.50082475,0.48330036,0.48726577,0.4861096,0.52721626,1.1081562,1.2901276,1.0812453,0.43009847,1.0022837,1.1348783,2.0578299,1.1600487,1.0753322,1.1316634,1.0672284,1.0420994,1.4870028,0.33648974,0.9969902,1.1127764,1.073097,0.9182582,0.5740553,0.63805455,1.0283953,1.0235444,1.0171775,1.1271781,0.9716758,1.0913109,1.1365968,1.1323059,1.0882196,0.8745313,1.0944115,1.0886317,1.0494169,1.0555866,1.0167927,1.2580836,1.203853,1.0828829,1.042042,2.1097221,1.5586072,1.7208776,1.1965212,0.99999994,2.5907013,2.527788,3.0731244,1.3234122,1.6864922,1.1848125,1.0173842,1.2062906,1.4382422,2.123732,3.6543477,0.95518845,1.1696748
"BMP2K",0.58261913,0.77419394,0.5404328,0.31810132,0.49307984,1.2081336,1.2168467,1.7041488,0.3365731,1.6337777,1.2678213,1.2047116,1.21938,1.2974113,1.1935998,1.760491,0.51586336,1.0659719,0.36477786,1.2193806,1.1825902,1.2074481,1.0489739,2.111186,1.6920998,1.1794637,1.2003906,0.9745781,1.0246619,1.190894,0.4968105,0.7922918,0.9052864,1.2774473,1.0585386,1.136977,0.9931833,0.97384083,1.1378374,1.8478159,2.3334916,1.7109296,1.5462985,1.0526322,2.2668126,2.145438,1.5225033,1.753745,2.0064976,2.1248462,1.3795736,2.0834641,1.699226,2.457914,1.3397223,1.0427064,1.2802768,1.1232347,2.230245,2.7641969,2.1329806,2.6445441
"FAM20C",0.45701078,0.43124896,0.45510903,0.40903682,0.5015811,0.6171443,0.5837687,0.63047415,0.45300633,0.5152711,0.63887566,0.5119686,0.68388444,0.6081082,0.6706926,0.58465266,0.60181606,0.5688389,0.43573686,0.58376884,0.6097202,0.58753407,0.57380885,1.249434,1.1040721,0.628213,0.59965736,0.6152801,0.6628745,0.5633789,0.547726,0.6218306,0.6269075,0.78497326,0.6315481,0.5787127,0.6037537,0.5718588,0.6186635,0.6019297,0.5709944,0.57663685,0.61936617,0.87294567,0.8083577,0.7785026,0.65270615,0.8682571,0.6849557,0.80973506,1.054973,0.76884633,0.8526369,0.8062204,0.8158831,1.4654983,0.81866515,0.77923876,0.8057634,0.6569134,0.83577424,0.79111767
"GABBR1",0.7569016,1.1086475,0.8503235,0.6378353,0.62040097,0.6973493,0.86626834,1.0271896,0.88621235,0.8087973,1.0775301,1.167266,0.76534617,0.91909194,1.172354,0.9584987,0.6376813,0.81632686,0.9884736,0.661135,0.9624948,0.7830609,0.6279878,1.3897793,0.9447164,1.058545,0.93222046,0.5954879,0.6550368,0.64507985,0.588992,1.0456129,0.5789426,0.8195746,0.7195879,1.1030964,0.9847725,0.8503624,0.9147571,0.78010494,0.99243796,1.5901961,0.6903956,1.2001841,1.4578178,1.7616284,1.0689119,0.9742855,1.14063,1.3123188,1.5006136,1.0829206,1.0696905,1.3534007,0.8650218,2.2777557,1.1733267,0.9411451,1.3485469,1.188288,1.1598493,0.9438192
"SRGAP1",0.85758644,0.88123727,0.7405608,0.8546195,0.6300088,0.87692904,1.3501526,1.1007367,0.39967605,1.2066977,1.4330243,1.9955448,0.93339807,1.1373446,1.001237,1.3524526,0.38733366,1.8790766,0.45169184,1.2973392,1.3984889,1.4474591,0.9860177,1.0943611,1.1983067,1.1638892,1.3650429,1.850512,1.1371287,1.1057441,1.4235706,1.4389995,1.2525,0.8762659,1.3678857,1.2484795,1.1149838,1.2756875,1.2985673,1.3532203,1.8216945,1.7329782,1.3963745,1.8415352,1.531005,2.7020426,2.4002898,1.1081997,1.9525003,2.0224164,2.6781325,1.8316189,1.4023899,1.7101021,1.395247,2.1000319,1.4275417,1.4421939,1.3595642,1.4501255,1.9741855,1.2967838
