"gene_symbol","Control_GSM300168","Control_GSM300169","Control_GSM300170","Control_GSM300171","Control_GSM300172","Control_GSM300174","Control_GSM300178","Control_GSM300182","Control_GSM300185","Control_GSM300187","Control_GSM300190","Control_GSM300193","Control_GSM300197","Control_GSM300205","Control_GSM300209","Control_GSM300215","Control_GSM300219","Control_GSM300223","Control_GSM300227","Control_GSM300231","Control_GSM300235","Control_GSM300239","Control_GSM300243","Control_GSM300255","Control_GSM300262","Control_GSM300268","Control_GSM300272","Control_GSM300276","Control_GSM300280","Control_GSM300286","Control_GSM300290","Control_GSM300294","Control_GSM300298","Control_GSM300301","Control_GSM300305","Control_GSM300309","Control_GSM300313","Control_GSM300317","Control_GSM300321","Control_GSM300325","Control_GSM300329","Control_GSM300333","Control_GSM300339","AD_GSM1176211","AD_GSM1176212","AD_GSM1176213","AD_GSM1176214","AD_GSM1176215","AD_GSM1176216","AD_GSM1176217","AD_GSM1176218","AD_GSM1176219","AD_GSM1176220","AD_GSM1176221","AD_GSM1176222","AD_GSM1176223","AD_GSM1176224","AD_GSM1176225","AD_GSM1176226","AD_GSM1176227","AD_GSM1176228","AD_GSM1176229"
"NECTIN4",0.89178044,0.86082643,0.88274515,0.7470812,0.9477388,1.0031224,0.9103781,0.69270015,0.8792639,0.85287905,0.96607393,0.8640805,0.98395854,1.1531434,1.2612818,0.91348225,0.98228574,0.90368885,0.8612648,0.9265306,0.93497944,0.9002771,0.9233825,0.68728864,0.64673465,0.9371037,0.90934575,0.8742715,0.96279055,0.8985762,0.96024525,0.95843154,0.9560779,0.92705643,0.95048904,0.9303937,0.94154435,0.8810763,0.97322536,0.91469246,0.8870952,0.89484537,0.9360411,1.0068117,1.2046288,1.1813918,0.8934957,0.9275788,0.92915505,1.1751528,1.2860857,1.2087364,1.2432795,1.2216043,1.2192969,1.6262923,1.2421044,1.2430441,1.2140052,1.176487,0.913366,1.197135
"SLC67A1-AS",0.8529396,0.799026,0.8188154,0.8144991,1.0551385,0.68548405,0.6596677,0.6768535,0.849741,0.6337442,0.69698715,0.6371087,0.7143343,0.68548435,0.70334256,0.66141653,0.71528083,0.67035717,0.8440113,0.66669077,0.67595834,0.6600419,0.67048407,0.6125854,0.5976606,0.67621404,0.6632953,0.6685848,0.69804215,0.6587949,0.702545,0.70547426,0.7024122,0.6632953,0.6909502,0.5952908,0.70320964,0.6365066,0.7446804,0.659543,0.6408546,0.7328058,0.6668171,0.97003686,0.7784572,0.75382906,0.86291116,0.86313176,0.89687985,0.82063246,0.87314624,0.8372487,0.8577622,0.84280837,0.8559796,0.92330855,0.91109985,0.8571134,0.8705085,0.7886815,0.88685954,0.8218752
"KHSRP",1.7289753,1.6634684,1.7439651,1.9547551,1.8700074,2.2214217,1.4686989,1.5095294,1.6606486,1.4192784,1.5412596,1.4187412,1.7997882,1.5594374,1.5877056,1.4554278,1.550322,1.4829327,1.7240354,1.4998543,1.5201292,1.4653698,1.4818116,1.6769178,1.6866525,1.5109572,1.4840548,1.4795717,1.5553129,1.4748223,1.5336998,1.5638669,1.5721694,1.5121005,1.5207033,1.7329892,1.5964376,2.1304963,1.5468073,1.4717577,1.4152582,1.4338456,1.5281999,1.7263458,1.0983127,1.058749,1.5074463,1.1331236,1.5623188,1.0867429,1.1556296,0.7164677,1.121399,1.1083275,1.1177995,1.63025,1.1058154,1.1222476,1.0836648,1.0539546,1.5554909,1.2847277
"LMO1",2.1091228,1.7092112,1.7856754,1.4561393,1.9143611,2.0594962,1.3756175,1.4130578,1.6893524,1.352403,1.4381295,1.3303348,1.4896147,1.9943398,1.5180527,1.3727586,1.8701452,1.394476,2.124108,1.3818749,0.9136305,1.5470331,1.2845973,1.329659,1.3643211,1.436227,1.2271333,1.7352105,1.32431,1.3706833,1.4422146,2.46901,1.4600519,1.1452879,1.4474057,1.8947074,1.8690838,1.7932576,1.4359558,1.3493373,1.800393,1.3442435,1.741786,1.2184219,0.9881572,0.9592501,1.1583496,1.0346258,1.249497,0.96854633,1.0511923,0.85570866,0.9658027,1,1.0148602,1.1401303,1.0210202,1.7725749,1.0235336,0.82208097,1.0501883,1.1473821
"OVOL1",0.3567058,0.36722806,0.35391477,0.33927792,0.37115806,0.7138895,0.68830377,0.85148144,0.34420776,0.62254375,0.7269684,0.60091305,0.7415474,0.77071446,0.81032175,0.6905201,0.7435136,0.7014442,0.36957717,0.69839954,0.7054349,0.68648356,0.6797664,0.56467557,0.5607172,0.71227145,0.6682949,0.6491131,0.74295115,0.69091207,0.7298607,0.7316577,0.67732835,0.7295848,0.6709537,0.7021078,0.70410216,0.58843064,0.9958137,0.69879615,0.6273893,0.6510798,0.71767986,0.8742903,0.8819841,0.90873516,0.76474065,1.0916973,0.79182357,0.7993809,0.9189306,0.880318,0.68857926,0.8930611,0.88784105,0.8410165,0.9565204,0.89797235,1.042863,0.83286715,0.76908535,0.8672642
"CDC14A",0.49950257,1.1201413,0.67628825,0.76809484,0.8378683,1.1333001,0.93980354,1.7771734,0.5582501,2.9781191,2.235386,2.6411328,0.75155497,1.1490543,1.0324174,1.1408261,0.91265684,1.1290222,0.9351621,1.9482493,1.3079727,1.133943,0.9235946,3.9150686,1.5838451,1.218199,1.9790703,0.94962996,0.9692235,1.3530064,1.0343716,0.96922415,1.0730245,1.0779055,1.35839,1.0155709,1.010972,0.95268774,1.1743169,1.3759711,1.6842455,1.710889,1.9486185,1.762875,4.486211,2.7092044,2.8751369,1.9297547,3.9334157,3.454439,4.6056995,2.757272,2.0888834,2.5539784,1.0230035,4.0776634,4.130372,1.2853068,1.5747564,2.1039486,3.1102486,1.0765946
"ESRP2",0.56828755,0.5477116,0.55978155,0.534838,0.64122164,0.61987376,0.51579124,0.6559335,0.56156236,0.5360785,0.6297993,0.5338527,0.65556157,0.5213813,0.865488,0.56801504,0.67327714,0.6135762,0.5545935,0.59743136,0.6692149,0.5915854,0.5330457,0.8758695,0.78270173,0.6749343,0.89461035,0.5365856,0.6300373,0.5948388,0.62328255,0.6318276,0.63230544,0.610105,0.67557263,0.60276544,0.59158546,0.49900103,0.6374682,0.7078772,0.571571,0.5816019,0.7350245,0.77893317,0.7957149,0.5404079,0.6791944,0.89571565,0.60698444,0.79196185,1.1078557,0.7605517,0.82779443,0.81891924,0.9035414,1.4875396,0.82389,0.8259179,0.88176644,0.73509836,1.0901704,0.75410736
"SWAP70",0.7460843,0.8088807,0.9449151,0.6076026,1.0251178,1.0225995,1.1535102,1.2564458,0.83175254,1.5434769,1.7065182,1.6338823,1.3255196,1.0672512,0.99268407,1.2291837,0.7745646,1.5388151,1.3263087,1.4932323,1.216465,1.2222294,1.8133181,1.4085386,1.7915245,1.0354419,1.3388734,1.223618,1.3696035,0.80869174,1.3378589,1.0598091,0.8283493,1.2457991,0.73572993,0.90124583,0.7070851,1.0055318,0.9405984,1.5628614,1.1977471,1.3021643,1.2493391,1.2779889,2.1021643,1.5556688,1.6118442,1.2356179,2.7878199,1.9106958,2.6541865,2.5804439,2.21941,2.1675625,1.1763347,1.3343182,2.6202748,1.2251472,1.1888576,2.9267948,1.3557056,1.255403
"DPYSL4",0.33057508,0.2963112,0.28231254,0.3264415,0.39801475,0.64697963,0.5990516,0.6233201,0.24087408,0.58472514,0.65411514,0.6078384,0.6734446,0.663208,0.67077553,0.62320244,0.63461995,0.63786846,0.25387436,0.62485456,0.6390757,0.6021179,0.57464004,1.1431426,1.3403178,0.64955413,0.63980126,0.59633887,0.652262,0.62296665,0.6263925,0.66270643,0.65287924,0.6441716,0.65090674,0.62120223,0.6376272,0.6883813,0.6504147,0.61512345,0.5640885,0.51934606,0.6365431,0.86161417,0.85811603,0.8465113,0.71411127,0.8708673,0.7575017,0.83648586,1.2842368,0.80255073,1.0547482,0.87202084,0.8423593,0.80855596,0.8873252,0.8895091,0.8253298,0.81463027,1.5241721,0.9476848
"SORBS1",0.7756987,0.91073346,0.85213333,1.1187114,0.6510172,0.5792592,0.97825605,1.124345,0.74699694,0.84617394,1.0587234,1.8547918,0.9376824,1.075066,0.6121456,1.3479109,0.97290677,1.615016,0.93469286,0.9570303,1.7961109,1.5904646,0.42802265,1.7381879,1.0356605,0.9033925,0.6782168,0.45558518,0.52451146,0.94141346,0.621594,0.9124923,0.7495748,0.52371895,1.031061,0.9407017,0.9130098,0.9582982,0.8178556,0.9398126,1.7177138,1.8498878,1.1171393,2.2069347,2.4941952,2.381721,1.7504827,0.990778,2.3795147,1.5678461,3.3248038,2.2829366,1.2736316,1.1327229,1.0759315,2.236069,0.8495823,1.3330201,1.8531278,1.8746294,1.2123865,1.2789418
