"gene_symbol","Control_GSM300166","Control_GSM300175","Control_GSM300179","Control_GSM300183","Control_GSM300194","Control_GSM300198","Control_GSM300200","Control_GSM300202","Control_GSM300206","Control_GSM300210","Control_GSM300212","Control_GSM300216","Control_GSM300220","Control_GSM300224","Control_GSM300226","Control_GSM300232","Control_GSM300236","Control_GSM300240","Control_GSM300244","Control_GSM300246","Control_GSM300249","Control_GSM300253","Control_GSM300256","Control_GSM300259","Control_GSM300263","Control_GSM300265","Control_GSM300269","Control_GSM300273","Control_GSM300277","Control_GSM300281","Control_GSM300283","Control_GSM300287","Control_GSM300291","Control_GSM300295","Control_GSM300302","Control_GSM300306","Control_GSM300310","Control_GSM300314","Control_GSM300318","Control_GSM300322","Control_GSM300326","Control_GSM300330","Control_GSM300340","AD_GSM1176230","AD_GSM1176231","AD_GSM1176232","AD_GSM1176233","AD_GSM1176234","AD_GSM1176235","AD_GSM1176236","AD_GSM1176237","AD_GSM1176238","AD_GSM1176239","AD_GSM1176240","AD_GSM1176241","AD_GSM1176242","AD_GSM1176243","AD_GSM1176244","AD_GSM1176245","AD_GSM1176246","AD_GSM1176247","AD_GSM1176248","AD_GSM1176249","AD_GSM1176250","AD_GSM1176251","AD_GSM1176252","AD_GSM1176253","AD_GSM1176254"
"KHSRP",0.7288472,0.7340908,0.7896875,0.7038497,0.6751092,0.7468009,0.6122597,0.69974554,0.69461656,0.7013316,0.74581546,0.68783563,0.68227893,0.7203719,0.66751117,0.65664536,0.69934994,0.6229787,0.7850834,0.7322925,0.705711,0.70517874,0.7195577,0.8801636,0.76678705,0.8998057,0.6734561,0.66524833,0.7266504,0.70797724,0.69540334,0.83818024,0.722141,0.69579685,0.684987,0.6826653,0.689915,0.782127,0.7342289,0.72981054,0.7222775,0.6725673,0.68939465,0.48699293,0.4818762,0.49579972,0.52834266,0.51246995,1.0092845,0.50354755,0.46894118,0.49917832,0.51346314,0.49440682,0.49458557,0.49253684,0.5117643,0.4650606,0.52724725,0.5931123,0.48819017,0.48957264,0.4920727,0.48874217,0.49956918,0.4892957,0.49366036,0.50229543
"KRT6A",1.4814329,1.4839505,1.4225496,1.6797523,1.3377022,1.578372,1.4012421,1.6026751,1.4395577,1.4636548,1.5553174,1.4387424,1.450735,1.4761322,1.374798,1.3629198,1.4493676,1.4263123,1.3792144,1.3698794,1.4581426,1.4303541,1.6267385,1.4833907,1.7762159,1.4078668,1.3709139,1.3382072,1.4603448,1.4263116,1.485351,0.61196196,1.4249676,1.3727251,1.4878742,1.5453744,1.412389,1.5712429,1.4406441,1.4373872,1.2891452,1.3854731,1.4198691,1.0176368,0.9781707,1.0127196,1.2211264,1.6375879,0.28670934,1.0180212,0.9588618,1.0020773,1.0604596,0.91257083,0.9700853,0.98168236,1.0592234,1.066233,1.0584245,0.9615223,0.98343813,1.077564,0.97026813,0.953574,1.0080725,0.97890884,0.9953971,0.99999994
"KRT86",1.3110604,1.3267353,1.2622786,1.3309962,1.3604431,1.3537867,1.31304,1.5607133,1.1274081,1.2256738,1.4309903,1.2950816,1.3108126,1.3185004,1.1000963,1.2689643,1.1299633,1.2980174,1.2902057,1.2499572,1.1991439,1.3362796,1.466518,1.4538472,1.3066158,0.9821831,1.2914236,1.5275084,1.3362789,1.3622397,1.1338067,1.6207224,1.3443705,1.3239845,1.4648582,1.3327551,1.5677955,1.5177429,1.3458925,1.3254839,1.0111356,1.4862926,1.1237979,1.0690671,0.7650353,1.0119966,1.0660826,1.0869832,1.1039412,1.0214986,1.0164949,0.8620673,1.1534482,0.8407639,1.0133343,1.0179316,1.0759823,1.1290395,1.0467519,0.9734244,1.0155358,1.0913143,0.9025046,1.019085,1.1597275,0.92683196,0.9743892,1.0227438
"GIPC3",1.6748859,0.90042067,0.851199,1.0039616,0.86170024,0.9671538,0.915838,0.878773,0.99004424,0.91618395,0.9368068,0.8901181,0.9250408,0.9960383,0.8584557,0.8046685,1.0644243,0.88509524,0.8641426,0.8738141,0.88326037,1.20192,0.9339838,0.92486656,1.2130816,0.87068737,0.9533877,1.0094694,0.9115291,0.8656104,0.8661011,0.98039955,0.89923227,0.86970276,0.88609743,0.90843934,0.97282654,0.8990628,0.902461,0.892641,0.7231799,0.867573,1.0620171,0.66046804,0.69404197,0.61244655,0.7426724,0.6992335,0.85215575,0.6043686,0.6562405,0.6340781,0.762445,0.59609354,0.6740421,0.6284807,0.6525225,0.6083768,0.6460307,0.62883675,0.62810796,0.53476447,0.598964,0.60726935,0.6303658,0.6271781,0.641172,0.80877626
"ANKFN1",0.8945233,0.7795912,0.7716896,0.8046937,0.8788007,0.8249828,0.7565545,0.88712895,0.80788773,0.83547616,0.8231173,0.78935766,0.75512904,0.90658426,0.7807685,0.7515761,0.8343737,0.7579833,0.7661779,0.74818116,0.852994,0.80000174,0.95072347,0.8332726,0.8919956,0.8010586,0.7898054,0.74269694,0.8189355,0.78712714,0.8380018,0.8727823,0.7772416,0.7747529,0.8015118,0.7816528,0.78534764,0.79894596,0.80257106,0.7950369,0.7328158,0.8183182,0.81354636,0.78218985,0.78537154,0.66123796,0.68847823,0.7694427,0.5677841,0.7064846,0.7805665,0.6681344,0.7275061,0.5865591,0.63663507,0.62509114,0.6704067,0.7074193,0.7252736,0.6313726,0.6835166,0.73283803,0.6336396,0.64230454,0.73478985,0.63042027,0.68235576,0.65342593
"DNAAF8",1.5154585,1.4470115,1.4767939,1.4148893,1.3735993,1.4412897,1.4058434,1.476794,1.3905458,2.0328453,1.3380488,1.4626532,1.3866162,1.4952954,1.3826984,1.365848,1.3847872,1.4280288,1.38296,1.3787915,1.4734548,1.7284116,2.188043,1.791823,1.3486927,1.3826979,1.3777523,1.2680109,1.4656924,1.4309945,1.6121895,0.9875087,1.3372924,1.4146228,1.4175609,1.4178288,1.4167587,1.4197025,1.44129,1.4242625,1.308594,1.3772324,1.3803523,1.1443965,0.9675269,0.99304503,1.0250205,1.1415902,0.77328306,1.0673593,1.7237749,0.9688052,1.0824329,0.8808361,0.96898836,0.9787243,1.0037802,1.391453,1.230608,1.0058656,1.0418664,1.0816375,0.92924595,0.97743315,1.0583266,0.9794633,0.9947567,0.9678919
"HAPSTR1",1.4850703,1.3384597,1.352674,1.6069136,1.3104769,1.401243,1.2923099,1.9445568,1.3336709,1.3703966,1.4639306,1.3326641,1.2920662,1.3531837,1.2964617,1.2993999,1.3359374,0.99385816,1.423356,1.2789716,1.5915282,1.3636912,1.8895909,1.4025655,1.339217,1.4220134,1.2775252,1.2886587,1.3552278,1.1811019,1.5819502,0.99788266,1.1375859,1.2964618,1.4545714,1.4686334,0.85496175,1.3595815,1.3742789,1.3139429,0.99705106,1.2930429,1.3149343,0.9684842,0.9462277,0.9579016,1.1940199,1.0036784,1.0724357,0.98007625,1.1205027,0.9609783,1.2268854,0.87789303,0.9494464,0.9096468,1.0582255,1.1461877,1,0.9357547,1.1932355,0.98837256,0.9148097,0.93434316,0.9534213,0.9633379,1.0118625,0.93929154
"MMP24",2.1896172,1.3506827,1.3142368,1.4344579,1.3578354,1.4417827,1.3836927,1.8659242,1.4322957,1.4540747,1.5222809,1.3939103,1.3611695,1.4817647,1.3344736,1.2045465,1.3688949,1.3800439,1.3473743,1.3422999,1.425287,1.3983884,1.7954825,1.4527037,1.4667463,1.3489,1.3461043,1.3329638,1.4325649,1.401028,1.4204562,1.2809907,1.2845786,1.3826498,1.5222809,1.3458502,1.3857828,1.4137727,1.3450881,1.3266922,1.2006904,1.3214475,1.4042039,1.1274546,1.0879812,0.9098181,1.1078635,1.7639631,0.40485248,1.1561332,1.0533465,1.0341488,1.1695851,0.9373079,0.98539394,1.0045376,1.0421782,1.0813651,1.1114218,0.87960935,1.0649489,1.1022354,1.0455258,1.0302546,1.086688,0.99962294,1.0801404,1
"METTL26",0.95581853,0.943458,0.8830107,0.94541746,0.89677626,0.99594545,0.9136812,0.94702375,0.9239078,0.9484544,1.0154861,0.92477894,0.92950165,0.9520389,0.90801156,0.87290835,0.92915136,0.92199254,0.9148893,0.8165193,0.9736531,0.99632114,1.0549294,0.9563595,0.93336743,0.90595806,0.9136821,0.8949174,0.944526,0.9226881,1.0036788,1.4080209,0.9216446,0.8937367,0.91800046,0.9454177,0.91419846,0.9470244,0.94185716,0.9291514,0.8393206,0.9059586,0.9305543,0.88177323,0.6984139,0.70171547,0.75286955,0.9043734,0.8234241,0.8715085,0.82117337,0.7218551,0.88264835,0.7627192,0.66976935,0.70250994,0.71764594,0.86233985,0.7835887,0.70237774,0.8594136,0.7647505,0.687434,0.69867754,0.8690432,0.7027753,0.8539124,0.7095689
"ZNF345",1.080108,1.0961185,0.96889555,1.135047,0.9922015,1.2662854,1.0653353,1.335724,1.0653358,1.0247303,1.1782444,1.0707749,0.99915105,1.1075498,1.0342463,0.9851143,1.061925,1.0734047,1.0553347,1.0468087,1.201135,1.1052543,1.1354758,1.1037959,1.0557325,1.0613235,0.977341,1.0284096,1.0535437,1.0835768,1.2217025,1.6555845,1.0222199,1.000849,1.0523521,1.2040844,1.0752283,1.0928153,1.2596136,1.1010923,0.9871612,1.0477968,1.0235707,1.4962754,1.4851015,1.8655446,1.6518204,1.3241702,0.692974,1.3028364,1.2753268,1.595469,1.3571478,1.1363356,1.4681106,1.3134743,1.5005898,1.4646811,1.5933629,1.4180255,1.2799118,1.6045237,1.543367,1.3875939,1.3124683,1.4881861,1.3072734,1.7833033
"C3P1",1.5259255,1.5124559,1.4295075,1.6714903,1.4362653,1.5709052,1.483911,1.5256376,1.4658272,1.5427127,1.6190424,1.4772075,1.4799974,1.5599781,1.4422387,1.424662,1.6303836,1.4937413,1.4594815,1.4658276,1.5351642,1.4943051,1.5288068,1.5456256,1.5104599,1.4567301,1.4289691,1.4022645,1.8147798,1.4928957,1.5241995,0.4863246,1.4791602,1.4774873,1.4677635,1.4786025,1.4594808,1.4906453,1.7129879,1.4937416,1.350345,1.4403358,1.4881161,1.1572602,1.0922687,1.1132792,1.3133243,1.2358747,1.7800698,1.1313279,1.0984824,1.1172764,1.1707255,1.0214454,1.092063,1.1109709,1.1242533,1.1272757,1.1821066,1.1285033,1.1101625,1.2089437,1.0887718,1.1055356,1.1907382,1.1124392,1.1453017,1.1214997
"WDR90",1.2913669,1.0369757,1.0319016,1.0798981,1.0334601,1.1950265,0.98362327,1.230949,1.1199399,1.0858221,1.0177886,1.1804621,1.0671399,1.2758689,1.0222148,1.0033014,1.0589184,1.3732762,1.0363891,1.043451,1.1555656,1.0260786,1.287961,1.1037897,1.2283974,1.0829581,1.0328761,0.96506,1.0893093,1.0609173,1.2814177,0.40895313,1.0691551,1.0593178,1.0491745,1.064727,1.0543333,1.0725895,1.078066,1.061318,0.9128218,1.0080444,1.0513543,1.6372129,1.3030742,1.457035,1.5476992,1.4835083,0.6336516,1.4255537,1.3698624,1.4608881,1.4973723,1.1381887,1.432507,1.4581342,1.4691788,1.3825986,1.7522432,1.464475,1.2148196,1.6530238,1.3414856,1.3154235,1.3917681,1.4636465,1.4385352,1.4689018
"AVPR1B",0.5771014,0.6595633,0.53304106,0.5709291,0.5411466,0.572655,0.55520946,0.560577,0.5486503,0.7169161,0.6048557,0.5523887,0.5462749,0.57427746,0.5341485,0.5356625,0.5905373,0.6072568,0.53778857,0.54761636,0.63694197,0.5582554,0.5678145,0.57547075,0.55197227,0.5411465,0.54999787,0.49030605,0.570606,0.553954,0.560683,0.47375306,0.5586768,0.55720335,0.5513478,0.5617416,0.54896075,0.56301475,0.56407756,0.55604833,0.5084862,0.5382961,0.5513478,0.67920166,0.6540628,0.667651,0.713086,0.6809998,0.8828983,0.67651314,0.6431238,0.60973704,0.70311975,0.60827285,0.67627084,0.698705,0.6687853,0.7568275,0.6918843,0.672835,0.6552618,1.0251074,0.5316963,0.6593898,0.670155,0.66338223,0.66889054,0.6713134
