"gene_symbol","Control_GSM300166","Control_GSM300175","Control_GSM300179","Control_GSM300183","Control_GSM300194","Control_GSM300198","Control_GSM300200","Control_GSM300202","Control_GSM300206","Control_GSM300210","Control_GSM300212","Control_GSM300216","Control_GSM300220","Control_GSM300224","Control_GSM300226","Control_GSM300232","Control_GSM300236","Control_GSM300240","Control_GSM300244","Control_GSM300246","Control_GSM300249","Control_GSM300253","Control_GSM300256","Control_GSM300259","Control_GSM300263","Control_GSM300265","Control_GSM300269","Control_GSM300273","Control_GSM300277","Control_GSM300281","Control_GSM300283","Control_GSM300287","Control_GSM300291","Control_GSM300295","Control_GSM300302","Control_GSM300306","Control_GSM300310","Control_GSM300314","Control_GSM300318","Control_GSM300322","Control_GSM300326","Control_GSM300330","Control_GSM300340","AD_GSM1176230","AD_GSM1176231","AD_GSM1176232","AD_GSM1176233","AD_GSM1176234","AD_GSM1176235","AD_GSM1176236","AD_GSM1176237","AD_GSM1176238","AD_GSM1176239","AD_GSM1176240","AD_GSM1176241","AD_GSM1176242","AD_GSM1176243","AD_GSM1176244","AD_GSM1176245","AD_GSM1176246","AD_GSM1176247","AD_GSM1176248","AD_GSM1176249","AD_GSM1176250","AD_GSM1176251","AD_GSM1176252","AD_GSM1176253","AD_GSM1176254"
"MESD",0.932582,0.94000036,0.8566821,0.98669547,0.8670877,0.9144639,0.91050434,1.1897471,0.9283693,1.0656375,0.9996225,0.9026375,0.90604967,0.92924494,0.86105686,0.866434,0.9575398,0.8980522,0.7957682,0.88260067,1.5013111,0.9065627,0.9125685,0.9465842,0.90246767,0.8851016,0.8934901,1.0003775,0.9065627,0.96043366,1.0070045,0.87940633,0.90434223,0.96188456,0.8945012,1.0626262,0.8812694,0.78163385,0.8721733,0.9033195,1.3371115,0.83687586,0.8451252,0.7482454,0.77796537,0.69720536,0.79009306,0.7291337,0.9984127,0.7659752,0.6940641,0.6962852,0.76659054,0.6688421,0.6935326,0.6934012,0.6521663,0.69183934,0.7157285,0.6639598,0.70796525,0.7532701,0.67852086,0.66810554,0.7266593,0.5386225,0.84358245,0.6990489
"NECTIN4",0.75828046,0.70862764,0.5886861,0.7087612,0.6744553,0.813558,0.67394644,0.7062253,0.6914607,0.70862776,0.744531,0.6898968,0.6854864,0.70369846,0.66472936,0.66523117,0.72444206,0.68561584,0.67828333,0.67726016,0.70569247,0.6977502,0.7302045,0.7203535,0.68755853,0.6752188,0.717235,0.66060406,0.7114402,0.6885967,0.69775045,0.4160058,0.69880414,0.68303394,0.6841943,0.6848403,0.6687538,0.69775057,0.6959098,0.68367845,0.46449777,0.67738825,0.49405313,0.87203753,0.78740454,0.88409925,0.9490858,0.868258,1.5118439,0.80599517,0.7723169,0.920694,0.99835074,0.7323989,0.8199972,0.79112625,0.89281404,0.77993923,0.9481908,0.8093925,0.8031085,0.9622461,0.8534551,0.88593554,0.8038669,0.88945204,0.8035633,0.89602005
"KIR2DL1",1.031061,0.8124763,0.7687866,0.81247586,0.7754871,0.94714653,0.80106175,0.9563032,0.7977443,0.90693074,0.85444665,0.7837225,0.7930926,0.9077862,0.84228426,0.76516974,0.6821257,0.79025495,0.77753824,0.7611388,0.80302864,0.82747996,0.82576495,0.82919896,0.79684156,0.78091866,0.7743183,0.7579866,0.82592034,0.9045375,0.8000052,0.40832725,0.8147783,0.8009109,0.7924943,0.8048488,0.7983463,0.8126295,0.8296682,0.8078911,0.66786504,0.75784385,0.80212015,0.8987894,0.9682611,0.98279905,1.0378664,1.0277629,1.2652886,1.0030262,1.0225352,1.0238651,1.0145051,0.8781513,0.7581117,1.1535082,0.98502606,0.9620234,1.0327882,0.956822,0.9707839,1.0570331,0.93699485,0.9571825,1.0043532,0.75426,1.0258241,0.99211276
"SPDEF",1.1849365,1.1455922,1.0679549,1.14257,1.0772626,1.1813644,1.1119502,1.2102373,1.1286459,1.1488379,1.1979712,1.1159424,1.1004729,1.149488,1.1065104,1.0607271,1.0932312,1.1058838,1.1254572,1.1002657,1.1492714,1.1309903,1.2025005,1.1647681,1.10839,1.0988133,1.0711842,1.0414943,1.1488378,1.1167848,1.1243958,1.6555253,1.1201613,1.1042161,1.105675,1.1157327,1.1125796,1.1997811,1.1307764,1.1239716,0.9995323,1.0846041,1.1172068,1.0326269,0.9442268,0.9593081,1.0242044,1.0367308,0.7760975,1.064106,0.97722214,0.9640248,1.0581443,0.88230735,0.9433368,0.9474379,0.9698615,0.9838889,0.9879581,0.9605759,1,1.029823,0.94067097,0.9380127,1.0190653,0.95119864,1.053707,0.9540741
"RPLP2P1",1.099909,0.8431824,0.8191935,0.9956327,1.0157415,0.9855418,0.8346364,1.0633876,0.91961884,0.9253617,0.9738983,0.91356647,0.8487676,1.1007385,0.8706611,0.8425466,0.9373086,0.85021025,0.8300832,0.7632452,1.3942442,0.9625743,1.0496365,0.88540214,0.94244987,0.8054028,0.84397846,0.81364936,0.89193976,0.8590769,0.9885213,1.9745256,0.81780416,0.8668917,0.89514256,0.79934853,0.84286404,0.86313856,0.84461474,0.82930064,0.7418109,0.9189255,0.8927812,0.7165616,0.4089591,0.40382263,0.49274653,0.5471763,1.7460114,0.59774107,0.38473135,0.41824335,0.5207848,0.3574798,0.4219682,0.40711144,0.48290005,0.4454573,0.4958233,0.40412748,0.4355577,0.46013367,0.5289664,0.47111297,0.47249442,0.4058846,0.51111364,0.41205645
"OVOL1",0.797887,0.7699406,0.7230618,0.87235385,0.62189305,0.7756259,0.7383617,0.74409497,0.74311304,0.78061676,0.85443825,0.7431127,0.7462033,0.8389452,0.73005205,0.6624627,0.74381447,0.7809112,0.7351656,0.7292262,0.77168536,0.75540966,0.7684896,0.7851952,0.7450782,0.645561,0.73322666,0.7183037,0.77168524,0.7531327,0.7379446,1.1428703,0.80332386,0.75313324,0.7118285,0.75869447,0.8441845,0.6509421,0.7804693,0.75512487,0.6848265,0.73019004,0.7481768,0.94397795,0.9102396,0.92967564,1.1184582,0.99618024,0.7120576,0.9333413,0.7684943,0.9345991,0.9488488,0.8230277,0.90681213,0.9282733,0.8800157,0.7096232,0.9612413,0.92251295,1.0128751,0.9968835,0.89999497,0.91488755,0.8876117,0.9277483,0.9291207,0.9337181
"CCDC85A",0.7876546,0.73691183,0.700582,0.7287553,0.7113693,0.743755,0.71298116,0.883546,0.9458121,0.7337214,0.7273816,0.7460029,0.71486694,0.835877,0.8335159,0.7037613,0.7181111,0.7352454,0.70922554,0.70522314,0.8445949,0.7313722,0.78795195,0.82771796,0.76481265,0.6473387,0.6895685,0.7033631,0.8148589,0.7201454,0.75534964,0.81072205,0.7423534,0.6917829,0.71987396,0.72450626,0.72614783,0.7215058,0.73192406,0.69047934,0.6852889,0.7086909,0.71797514,0.92213875,0.8391444,0.9049144,0.93634546,1.1551749,1.4037777,0.8482873,0.9127824,0.89811164,1.2292875,0.7937276,0.8755286,0.81850636,0.82782334,1.1612993,1.5279827,0.8916968,0.89469093,0.9878784,0.89980775,0.88716644,0.91020006,0.8866644,0.8950288,0.8930431
"LINC00523",0.9169006,0.7711047,0.65860045,0.74634516,0.7459231,1.0209879,0.96371967,0.6974739,0.73129356,0.7680562,0.6625882,0.7969848,0.8257575,0.97671425,0.68186253,0.7039512,1.0322204,0.7259331,0.72251785,0.7151948,0.9949393,0.6619639,0.8876275,0.7619945,0.81815976,0.65192574,0.69471675,0.6884542,0.75171447,0.7114267,0.7344736,1.1373867,0.9132753,0.7293647,0.7248382,0.75072277,0.7285394,0.64544034,0.8610739,0.78771853,0.624834,0.7099528,0.6356527,0.5091918,0.49686074,0.58404475,0.62026983,0.67098767,0.50956416,0.59955627,0.6439229,0.55840266,0.63898647,0.4513901,0.5586136,0.58393425,0.60936767,0.5671731,0.69029284,0.5539959,0.65089244,0.8256234,0.55661476,0.54272074,0.6160855,0.5812967,0.6164346,0.5883574
"MALT1",0.98230964,0.79014134,0.8202119,0.89153415,0.81481445,0.91937363,0.8128185,0.92441696,0.8671509,0.88985395,0.9287868,0.86616963,0.83946615,0.98900294,1.0523297,0.81712353,0.87388396,0.86584324,0.7991356,0.82269156,0.8860012,0.91798735,0.9195474,0.9280865,0.8503041,0.85561377,0.82408994,0.77977604,0.87669057,0.9293123,0.8197482,0.97887415,0.84806126,0.82052195,0.84966236,0.804581,0.83378434,0.7859789,1.09032,0.85094607,0.74287325,1.0141314,0.8463034,0.7660211,0.67773104,0.7035239,0.7725287,0.91103745,0.7393317,0.7705191,0.75126374,0.7174626,0.81902456,0.63719165,0.9142725,0.68661,0.78161687,0.78210145,0.79770434,0.6800362,0.7463146,0.7770596,0.6720022,0.70180064,0.76169336,0.7018005,0.7376265,0.70233047
"FAM170A",0.8249703,0.8315326,0.7806092,0.83168924,0.7908364,0.84864753,0.8013487,0.8192322,0.82777625,0.8331029,0.8861116,0.8084849,0.80392253,0.8348327,0.78548414,0.7788444,0.81414825,0.80696136,0.79547507,0.7968265,0.82762,0.82232875,0.8464094,0.84736794,0.80787534,0.795925,0.79262906,0.76486653,0.83530563,0.8166087,0.8315327,0.56486964,0.8206243,0.89265573,0.80377084,0.8175342,0.80863756,0.82512623,0.8287137,0.8158395,0.74929994,0.7875616,0.8218636,0.9549425,0.9174861,0.9365468,0.9976424,0.9768321,1.584002,0.94561017,0.90148973,0.93955517,0.9742988,0.8417577,0.92147565,0.92898005,0.9456002,0.90404725,0.9864139,0.93601716,0.84398645,1.0152996,0.90630466,0.9316129,0.9413338,0.93214035,0.936546,0.9436405
"HOXA7",1.3170837,1.037862,1.0136746,1.1289611,1.0257936,1.1310925,1.024633,1.6303192,1.0791912,1.1086997,1.1388001,1.1160436,0.98762625,1.1637747,1.0259875,0.9906121,1.0958083,1.0662403,1.0071942,1.01291,1.1340839,1.0175065,1.4677079,1.0980844,1.1287482,1.0001884,1.0161642,1.0034012,0.9638826,1.0478947,1.1866094,2.4174445,0.9309999,1.0180825,1.0478947,1.0041587,1.0361009,1.0694635,1.066039,1.0227025,0.9075897,0.99981177,1.0564296,1.5330386,1.4305221,1.8830509,1.6284648,1.8984592,0.7716331,1.5180569,1.5971719,1.5438071,1.7777814,1.1609619,1.3770365,1.4032589,1.4886101,2.0821388,1.6613553,1.3819805,1.7669867,1.4484442,1.4077667,1.3953402,1.4753764,1.3827624,1.486003,1.4729674
"B9D1",0.82174337,0.8044118,0.7417364,0.7970102,0.7484835,0.87634116,0.6555222,0.8325092,0.77902395,0.8009291,0.9441351,0.7779955,0.8167974,0.86256367,0.7554344,0.73588336,0.78744614,0.75843287,0.7354672,0.9646595,0.7977623,0.7847767,0.82656324,0.96084577,0.8694251,0.9052417,0.76576525,0.7504631,0.87452424,0.78625786,0.8088247,0.8767346,0.79012406,0.7834451,0.78699994,0.79146683,0.7790237,0.75458,0.9230027,0.78789157,0.7010577,0.7602955,0.8013824,0.7380301,0.7021456,0.66639763,0.73925304,0.8066892,0.47639862,0.63107145,0.5817378,0.66614634,0.7323723,0.5717175,0.67131865,0.6694213,0.7021453,0.86884135,0.74260753,0.683071,0.66634744,0.7550385,0.6679079,0.6772969,0.7141714,0.65902174,0.67828256,0.7033386
"OAZ3",1.0049992,1.2228405,0.9085203,0.9899456,1.4132134,1.3362113,1.2591233,0.92967206,0.9294966,0.9810228,1.1073272,0.96214443,0.9239027,1.0051882,0.8714228,0.90646636,0.9639618,1.2821339,0.89457524,0.91006416,0.9710798,0.94559073,0.99500084,1.2407323,0.9171303,0.79884106,0.88550866,0.9948134,0.97419864,1.2337292,0.9438091,0.710838,1.226768,1.0426569,1.0866339,0.9418523,0.93848217,0.9480912,0.96051246,0.9466618,0.90067095,0.88835293,1.0420666,0.7760094,0.71568745,0.7516651,0.81687206,0.9090773,1.0934542,0.7593371,0.7476679,0.7572154,0.82252705,0.74330366,0.7297298,0.920305,0.92273897,0.7741066,0.8092034,0.7167685,0.7596239,0.793333,0.7033736,0.6750345,0.78856754,0.7186638,0.82342064,0.75336844
"SLC67A1-AS",1.0393205,1.5903574,1.0046215,1.170037,1.0239463,1.0766381,1.0340397,1.0139512,1.0108954,1.0673361,1.1352491,1.0108947,1.0401046,1.0489713,0.98028463,1.0061393,1.0373619,1.0318966,1.0225955,1.0301464,1.0559206,1.0833609,1.0575159,1.5597546,1.0408899,1.0291748,1.0210537,0.99537843,1.078671,1.2598377,1.032676,1.1063969,1.0661285,1.0220165,1.0365788,1.0629156,0.6676494,1.0597124,1.0744063,1.0505564,0.8105314,1.018937,1.0467974,1.3744198,1.2318115,1.283767,1.4920454,1.3671707,0.77551013,1.320976,1.3154986,1.2500703,1.3781241,1.2402232,1.2743572,1.2869186,1.2939783,1.2657797,1.3281063,1.2854636,1.313265,1.6570414,1.227636,1.2444234,1.9055316,1.2782089,1.4405974,1.2978902
"CD2",0.76102173,0.7460958,0.7011977,0.74609584,0.71199447,0.7610214,0.7898349,0.86796033,0.80335957,0.7435665,0.79536736,0.7271973,0.719013,0.80654794,0.7061093,0.7026546,0.850617,0.7199633,0.6867975,0.7134735,0.7091794,0.7335354,0.75729823,0.761596,0.72664917,0.7021243,0.6799653,0.69304454,0.7038483,0.7278836,0.8864943,0.45122847,0.7327057,0.7282961,0.7358916,0.6869271,0.7207784,0.73478216,0.74216527,0.57152057,0.66864425,0.57001334,0.7300842,0.90007013,0.8579763,1.016164,0.9287197,0.85290396,0.8032303,0.8372634,0.93277764,0.7257817,0.89638054,0.64516807,0.85716766,0.86987275,0.87927693,0.6998806,0.91170746,0.8867732,0.8068374,0.9996227,0.7948679,0.8104633,0.83473724,0.869053,0.8315902,0.97614276
"PCED1B",0.612624,0.7530471,0.57858855,0.62771493,0.6031065,0.6333053,0.7459772,0.6156361,0.61389655,0.624055,0.6767859,0.61331743,0.5698151,0.6143597,0.61971426,0.59452164,0.6171479,0.6123929,0.6060721,0.6065295,0.6272416,0.66401345,0.62925655,0.7999056,0.6154038,0.60356164,0.6742377,0.5910549,0.6346208,0.6231135,0.6149399,0.77396876,0.61644953,0.61948067,0.6053861,0.62417287,0.57728034,0.6257054,0.6262955,0.6228789,0.7861431,0.6165659,0.6179631,1.1305557,1.0611145,1.0823423,0.7656468,0.73443866,1.0348672,0.72083414,0.7004354,0.7251597,0.73433477,0.7186592,0.7547485,0.7232467,0.7967373,0.6825449,0.7524733,0.8532076,0.7004355,0.77057356,0.63008326,0.714972,0.7141941,0.71645707,0.75525665,0.72324693
"CD5",0.8986842,0.901741,0.84635794,1.0785253,0.8605255,0.9602037,0.8698282,0.88505626,0.8959754,1.0018369,0.9569484,0.88756365,0.8797295,0.9161431,0.8524471,0.8484365,0.8830554,0.8739401,0.8585801,0.85825586,0.90702933,0.8882343,0.9298993,0.91978,0.8762514,0.86851656,0.8422174,0.836359,0.9068581,0.8855569,0.7884058,0.84330547,0.90208113,0.88006175,0.8727868,0.88155735,0.87707806,0.8912556,0.8969901,0.88205606,0.8064568,0.76251584,0.86769783,0.9896656,0.99389255,1.0601289,1.3110168,1.0223416,0.7427271,0.9740889,0.93869054,1.0262829,1.0141209,0.8440041,1.0107207,1.0274447,1.0239623,0.90594655,1.1006818,1.0258958,0.9415317,1.1658686,1.0010431,1.0176077,0.9696839,1.0295795,0.96566325,1.0262829
"TAC1",0.9574226,1.7354788,0.7840481,0.99179924,0.6835683,4.1605506,0.64803183,0.03667248,0.83693135,1.2954856,0.037604213,0.5167541,1.525678,1.0135505,0.11479331,0.48264396,0.96394676,0.6037734,1.3962317,1.5407188,0.22870608,2.3389864,0.105391085,1.9515421,0.83393615,0.78939086,1.2527072,0.7232326,2.0426974,2.6366413,0.09221456,0.3853334,2.5024064,1.8258193,0.5286853,2.0831697,1.6322732,1.3680732,2.1056895,1.192523,0.12564926,0.53824604,0.46093142,0.22577325,0.58192855,7.1396885,10.949835,9.207885,0.6845461,7.0498757,1.3950939,0.9816831,3.6796205,4.0906897,6.1129856,5.5136495,4.752942,2.774348,2.6544337,5.3679147,2.1245394,20.920933,3.4275455,4.800703,10.287414,5.380081,11.065387,9.726517
"RAP1GAP",1.0345348,0.81076586,0.98743606,1.0398172,1.0079501,1.0642264,1.0277265,1.0209631,1.0194238,1.0376619,1.1217384,0.8599166,1.0184623,1.0351198,1.3543684,0.9913559,1.014819,1.0161595,1.0115697,0.9971702,1.045127,1.0292788,1.2023782,1.0749202,1.0240495,1.0163512,1.004534,1.3684936,1.0548323,1.0359012,1.0190395,1.4589723,1.0524473,1.0271451,1.1868275,1.0271451,1.0211555,1.0461135,1.0459158,1.039033,0.9600682,1.0028299,1.0279204,1.434362,1.194408,1.2160062,1.2783399,1.2598249,1.1330887,1.2482198,1.7312183,1.2199122,1.268959,1.1363881,1.1948593,1.2363608,1.2305439,1.5182635,1.2641908,1.2054996,1.2090093,0.9327098,1.1935071,1.215089,1.2505797,1.2245232,1.2538908,1.2335654
