"gene_symbol","log2_fold_change","adj_p_value","avg_expression","t_statistic"
"DDR1",0.171470814320686,0.338982441890038,1.54660865645161,1.35599703537708
"RFC2",-0.0807317667686658,0.37428093824479,0.925173742419355,-1.25977725191071
"HSPA6",-1.82287096438189,0.684152902150436,4.44488929354839,-0.607926205449142
"PAX8",0.0162454901713586,0.767619214459584,0.975625165967742,0.451910374481165
"GUCA1A",-0.683348896768666,0.206155087898479,1.75528374096774,-1.87279728702227
"UBA7",0.260601305569156,0.0915149762599227,1.25569304274194,2.57448643006661
"THRA",0.0148153495716034,0.900418262579937,0.885331904516129,0.203394414802763
"PTPN21",0.393398033659731,0.0343465981724418,1.32374836774194,3.29312361886813
"CCL5",0.305032639730722,0.181699608484835,1.1732813883871,2.0033890127933
"CYP2E1",-0.303340582301102,0.116475247920814,0.964907175806452,-2.38533205595395
"EPHB3",-0.16483725246022,0.391392814470695,0.980807797419355,-1.21555470070733
"ESRRA",-0.110979180746634,0.281870549418309,0.990235763387097,-1.54312689919601
"CYP2A6",-0.0518144188984088,0.464727676503925,0.773188026129032,-1.04453381234642
"SCARB1",0.016115670134639,0.900856605791398,1.19038732612903,0.202540328184336
"TTLL12",0.0232601114320686,0.799925178368402,0.882077963548387,0.391113704479778
"WFDC2",0.151924205397797,0.130373024635498,0.819175800806452,2.29015086888742
"MAPK1",-0.126462877148102,0.684248804487062,1.402397915,-0.607719877437542
"MAPK1",-0.180364723182375,0.562400688953942,1.09589383548387,-0.843471048816574
"ADAM32",0.129227769583843,0.135413107389549,0.919254737258065,2.26160499412389
"SPATA17",0.28145262128519,0.252401548503217,0.574183759516129,1.65969498531478
"PRR22",-0.0155916258017136,0.669782211779488,0.303013249032258,-0.635222757927307
"PRR22",-0.0583108346756426,0.599335821290973,0.596671911129032,-0.771237765614489
"PXK",-0.173130151811506,0.763939992100049,1.87862998596774,-0.458916868414143
"PXK",-0.116566230428397,0.82710965908266,1.85334762741935,-0.341095900021815
"VPS18",-0.0984845939902081,0.195251217439342,0.944569595,-1.92771953202711
"MSANTD3",-0.181663373977968,0.0484220458707096,0.908045715806452,-3.04728386669608
"SLC46A1",-0.518208999534884,0.482835447737039,1.37394674580645,-1.00755327445827
"SLC46A1",-0.0465809981395349,0.80563051843774,1.22334247612903,-0.380350265366307
"TIMD4",0.0369484255936353,0.301485515167817,0.409563321129032,1.47507378765334
"SLC39A5",0.172072402753978,0.0362607243285099,0.904737206290323,3.24699443123672
"ZDHHC11",-0.0498767610893513,0.866294699008792,1.44504578983871,-0.267066740354127
"ATP6V1E2",-0.0383704030477356,0.679638983428536,0.972832096935484,-0.616160323849188
"AFG3L1P",-0.0445418825091798,0.789956769253038,1.37965273919355,-0.410316868851117
"CILP2",0.0351157562178703,0.551000221156526,0.882329423387097,0.866494387112676
"CILP2",-0.00596520386780908,0.750735223030473,0.345683202258065,-0.483715143268496
"PIGX",-0.0834076120318238,0.342982910937896,0.956108475322581,-1.3447701218708
"TMEM196",0.00641689586291311,0.938797102808673,0.632841610645161,0.126845872391287
"SLC39A13",-0.0702771634516524,0.344259782478354,0.876277739677419,-1.34129153692571
"BEST4",-0.035464426866585,0.86049676866972,0.847477995,-0.278259716501057
"AK9",0.0986032582496941,0.608264226998892,1.15297803822581,0.753959379088784
"CORO6",-0.195730159935129,0.102724482811685,0.705705109887097,-2.48706963718288
"TMEM106A",0.102647461113831,0.747358744826236,1.41297075048387,0.489661993681909
"TMEM106A",0.289054261603427,0.136782862033307,1.60280269887097,2.25266471944893
"ALG10",0.0325280583965729,0.379770311595349,0.416590311774194,1.24527971790894
"ALG10",0.128955782729498,0.154705442174513,0.835023444354839,2.15014793873785
"TTC39C",0.0654191534883722,0.178073930012077,0.484202481612903,2.0230496885869
"NEXN",-0.18309904128519,0.892669287225266,1.97366517370968,-0.217249746336831
"C15orf40",-0.238575826401469,0.0407644757780658,0.980433818548387,-3.1635783023609
"RAX2",-0.00127622869033052,0.990001045444145,1.0390199516129,-0.0214112165638425
"MFAP3",0.221917376682986,0.255777223200156,0.918642950806452,1.64491073473179
"EYA3",-0.00579384402692778,0.95601653227898,0.914419158548387,-0.0926702740716003
"GIMAP1",0.332586133084455,0.175420457340252,1.40264867435484,2.03677589745761
"GIMAP1",0.316304848249694,0.167688510100185,1.2608178116129,2.08075210701763
"GIMAP1",0.192354532839657,0.371075262498325,1.66290669241935,1.26807799530317
"KLK8",0.17578886755202,0.0598909362527434,0.865451093387097,2.89190382251592
"DRC2",0.315338073280294,0.0360665073361898,1.22726137209677,3.25137931833553
"DRC2",0.323647669657283,0.233288915851729,1.18031341177419,1.74538685417731
"PABIR3",0.0814345541003674,0.104434392976897,0.481777421612903,2.4733632196321
"PABIR3",0.162059374528764,0.588398098041283,1.52356167112903,0.792789513923409
"CFAP53",0.125858820379437,0.168774100827246,1.0644146833871,2.07539288349665
"CFAP53",4.30288845838433,0.0267427194896529,3.75513806193548,3.4822377663202
"ARMCX4",-0.0248339552509181,0.849280070853506,0.890502166451613,-0.299216609737851
"RBBP6",0.0121877074418605,0.964002421342496,1.39866456516129,0.0758875745280212
"CENPBD1P",-0.117690541848225,0.268427467032515,0.991710477580645,-1.59313523284019
"TRIOBP",-0.00458424548347623,0.976205962302668,1.30343153290323,-0.0508130006755799
"TRIOBP",0.100842653671971,0.698868457636172,1.95103917177419,0.580121131491136
"CATSPER1",0.0242195511015912,0.39510610604097,0.317505838870968,1.20608380034847
"HOXD4",0.0327475430232558,0.272369798552395,0.363296114354839,1.57800948441223
