"gene_symbol","log2_fold_change","adj_p_value","avg_expression","t_statistic"
"DDR1",0.27679622702381,0.130553021748907,1.01507187913043,2.30613091615558
"RFC2",-0.165266580476191,0.0860698098101952,1.06552351217391,-2.62349131000628
"HSPA6",0.0474276675595238,0.857071064378683,1.12244436376812,0.359548539190072
"PAX8",-0.080513391875,0.332072966959689,1.01055050275362,-1.56858532176096
"GUCA1A",-0.192567907886905,0.0948133536280808,0.666811018985507,-2.54923946367537
"UBA7",0.0313519268154762,0.763416999616275,1.05268369347826,0.57928426296274
"THRA",0.03237808125,0.743769275844077,0.907498384057971,0.627054714866992
"PTPN21",0.126370745595238,0.0574666128518359,0.898091080869565,2.96838713574799
"CCL5",-0.117611815178571,0.545647483019538,1.09752979681159,-1.0654561019462
"CYP2E1",-0.376211268541667,0.0905748745304781,1.22289501681159,-2.58253096629187
"EPHB3",-0.446141218541667,0.0937495884788365,1.23114708188406,-2.55798951427376
"ESRRA",0.067528016875,0.561425228000295,1.04016328826087,1.03042894514216
"CYP2A6",-0.00902379035714291,0.831800926347785,0.893746403188406,-0.420535650751617
"SCARB1",0.0554172021726189,0.70120572652209,1.02463021521739,0.721606681145608
"TTLL12",-0.0778730955357142,0.342299376706852,1.09559041724638,-1.53913360875633
"WFDC2",-0.0287363524404763,0.749809641184602,1.12950683652174,-0.612414778364285
"MAPK1",0.139119006636905,0.257817166815595,1.02460283202899,1.78336073267511
"MAPK1",-0.478597841220238,0.0854405444854557,1.16033489724638,-2.63045291126016
"ADAM32",-0.0286704290178572,0.571447129063617,1.07253652246377,-1.00898332928098
"SPATA17",-0.00159430952380956,0.909634835208527,0.483654275362319,-0.236338398284225
"PRR22",-0.00385434389880956,0.81546845244725,0.345403273188406,-0.456447159490227
"PRR22",0.0117837570535714,0.897954145559554,1.08556505855072,0.26375183550306
"PXK",0.194529384553572,0.488700690688015,1.00938214550725,1.18846633602536
"PXK",0.381926223303572,0.224891780885788,1.00079936057971,1.89360949311175
"VPS18",-0.136721277053571,0.204197430060312,1.10495338550725,-1.96629935758751
"MSANTD3",-0.170559244642857,0.196683561168187,0.994731475507246,-1.99475342048195
"SLC46A1",-0.133180243541667,0.209687562590953,1.1714752426087,-1.947165768319
"SLC46A1",-0.0220831817857142,0.833824393469163,0.977590295797101,-0.416544769636132
"TIMD4",0.0019737974404762,0.920888514394324,0.510565279710145,0.207093564708831
"SLC39A5",-0.062740520654762,0.424049177560155,1.25494212434783,-1.33520491836801
"ZDHHC11",0.241322629583333,0.320234297251385,1.02817651144928,1.60135628312958
"ATP6V1E2",0.0991222019940477,0.400703865826941,1.03748913898551,1.392353777536
"AFG3L1P",0.148737441875,0.233730078399791,0.934857548550725,1.8625425300487
"CILP2",-0.0545716701190476,0.490417976368653,1.22044322666667,-1.18433402990956
"CILP2",0.01678703375,0.157540634122638,0.413946496811594,2.16654366770751
"PIGX",-0.0653110765476192,0.636307341815514,1.05242454666667,-0.866065862703644
"TMEM196",-0.260812772470238,0.128942603077401,0.915329147391304,-2.31447291699551
"SLC39A13",-0.0518687156250001,0.68164201567638,1.23795219144928,-0.764132016359878
"BEST4",-0.0447831629166667,0.320833346564733,0.720252051304348,-1.59984559069325
"AK9",-0.0492580281547619,0.810485588573042,0.990942555797101,-0.46832992976146
"CORO6",-0.077524550297619,0.675217165634668,1.21879189623188,-0.778334547815952
"TMEM106A",-0.0416197065178573,0.771574244404822,0.946338415507246,-0.560106531334823
"TMEM106A",0.114212816339286,0.112964938581429,0.99211497173913,2.41555199909148
"ALG10",-0.0106499906845238,0.654071485164193,0.517777972028985,-0.824666761771801
"ALG10",-0.0190516903869048,0.768583307143444,0.942842038405797,-0.567605010704916
"TTC39C",-0.0161418345238095,0.856537278592957,0.71780362942029,-0.36109052645362
"NEXN",-0.169430877678571,0.737824729396833,1.14568780028986,-0.639676217268412
"C15orf40",-0.100078764702381,0.337357877363238,0.870076872608696,-1.55249331983776
"RAX2",0.0345850791666667,0.728836281860158,0.99175959115942,0.659899794876996
"MFAP3",-0.0293563486309524,0.923518776020145,1.19959490202899,-0.199328084073526
"EYA3",-0.0857917951488095,0.335843225579807,1.01608764594203,-1.55699967956387
"GIMAP1",0.048539746577381,0.789511352224312,1.0798837873913,0.518864769173629
"GIMAP1",0.353090611607143,0.134091000090075,1.13726037797101,2.28631078058687
"GIMAP1",0.103360343511905,0.241160669396808,0.852543867101449,1.83750733013449
"KLK8",-0.00993168303571413,0.917653031719396,1.40879341594203,-0.215986974208023
"DRC2",-0.064733592827381,0.406795729186778,0.952908016956522,-1.3766579244396
"DRC2",-0.103790611309524,0.123315294983585,0.976731477246377,-2.3457023009898
"PABIR3",-0.00575845002976193,0.740780305110268,0.528770329710145,-0.633639003850416
"PABIR3",0.0264566701785714,0.80880178810539,0.962245584637681,0.472282629701776
"CFAP53",-0.0103339932440477,0.921424393413112,0.95834569057971,-0.205148339244563
"CFAP53",0.522007835922619,0.0525643785064832,1.03990263652174,3.05348317764796
"ARMCX4",-0.0977913933333333,0.553799379277419,1.02868448202899,-1.04675338643104
"RBBP6",0.0194447193452381,0.887187782707654,0.896411086811594,0.28854787595296
"CENPBD1P",-0.0385961534821429,0.782235626895912,0.993285448550725,-0.536286519560317
"TRIOBP",-0.00843295744047624,0.792850215625855,1.05606812898551,-0.511390957902367
"TRIOBP",0.240354261547619,0.182511077443778,1.01968247782609,2.05333550452637
"CATSPER1",-0.00997160648809524,0.610270849685988,0.444425944492754,-0.924116904061375
