"gene_symbol","Control_GSM300173","Control_GSM300177","Control_GSM300181","Control_GSM300186","Control_GSM300189","Control_GSM300192","Control_GSM300196","Control_GSM300204","Control_GSM300208","Control_GSM300214","Control_GSM300218","Control_GSM300222","Control_GSM300228","Control_GSM300230","Control_GSM300234","Control_GSM300238","Control_GSM300242","Control_GSM300248","Control_GSM300252","Control_GSM300258","Control_GSM300261","Control_GSM300267","Control_GSM300271","Control_GSM300275","Control_GSM300279","Control_GSM300285","Control_GSM300289","Control_GSM300293","Control_GSM300297","Control_GSM300300","Control_GSM300304","Control_GSM300308","Control_GSM300312","Control_GSM300316","Control_GSM300320","Control_GSM300324","Control_GSM300328","Control_GSM300332","Control_GSM300338","AD_GSM1176196","AD_GSM1176197","AD_GSM1176198","AD_GSM1176199","AD_GSM1176200","AD_GSM1176201","AD_GSM1176202","AD_GSM1176203","AD_GSM1176204","AD_GSM1176205","AD_GSM1176206","AD_GSM1176207","AD_GSM1176208","AD_GSM1176209","AD_GSM1176210"
"C3P1",0.9132203,0.8779376,0.87976,0.98122823,0.901928,0.9223907,0.9415414,0.9190923,1.0025451,0.84736603,0.9239572,0.94367385,0.9422514,0.88909733,0.89447737,0.86773527,0.9974548,0.89380276,0.8772756,0.9771667,0.88258404,0.85700566,0.93746763,0.9302494,0.927098,0.8444954,1.0950191,0.8976866,0.9762467,0.8584606,0.9367612,0.8887621,0.9099549,0.95909804,0.9431404,0.8579753,0.8782688,0.87677956,0.9140818,0.67731375,0.69124556,0.6830838,0.70939696,0.66856045,0.7563884,0.6488173,0.68025714,0.65619767,0.70679533,0.67910355,0.6890337,0.6954281,0.78214765,0.7340922
"SLC25A46",0.8401213,1.1077788,0.7616695,0.62961125,0.38088423,1.2536119,1.0423346,1.2388105,0.9021748,0.6554083,1.2085909,1.436406,0.2986014,1.1174273,0.9950987,1.3022724,1.6749641,0.7636824,0.531255,1.6972145,0.5757892,0.41452917,1.2175096,1.0368476,1.3081788,0.87273175,1.867093,1.327307,1.7584473,0.65306497,1.6196903,0.83208203,0.9553899,1.6680313,1.543667,0.6237043,1.0049014,0.6115949,1.419714,13.239019,12.052627,7.194304,10.55993,6.7235117,13.671681,9.194088,10.614465,10.881919,21.642365,9.2567,11.359863,10.437848,24.7272,7.171288
"ST6GALNAC4",1.2904084,1.2027844,1.2316976,1.376868,1.2667866,1.2865218,1.3048421,1.2744514,1.2349529,1.1899284,1.2855524,1.3214282,1.2802312,1.2412547,1.2523023,1.1539181,1.3055799,1.2613057,1.223366,1.377387,1.2263681,1.1975805,1.309277,1.2916256,1.2987068,1.1827716,1.336965,1.2501786,1.3734981,1.1917244,1.311501,1.2265993,1.282889,1.3186904,1.3219265,1.2137173,1.2242897,1.2319297,1.2775793,0.9787379,0.99849325,0.97947544,1.0074153,0.9546825,1.0496378,0.9811395,0.9811399,0.95378256,1.2688451,0.9798452,0.999058,1,1.0800575,1.0190315
"MORN1",1.0393031,0.9654483,1.002545,1.1156479,1.0089923,1.0588826,1.0666969,1.0642859,1.0225887,0.9371143,1.0554945,1.1089383,1.189725,1.0158631,1.0652903,0.93024933,1.1089381,0.99426323,1.0029231,1.1741279,1.0057634,0.9806739,1.0636843,1.0519187,1.0765961,1.0067123,1.1089385,1.0084211,1.1200743,0.9779046,1.1037242,0.997455,1.0588824,1.0935745,1.0794415,0.9931393,1.0040587,1.0243251,1.0499376,1.317503,1.2965581,1.2502297,1.1744087,1.2089729,1.2359622,1.2953365,1.2873038,1.1980813,1.3443496,1.2970469,1.3451097,1.2812499,1.2725037,1.3350048
"KRT6A",1.631166,1.4976443,1.418765,1.8981298,1.5391488,1.5660769,1.5901756,1.7205552,1.53018,1.4265428,1.566077,1.6028168,1.9514683,1.5092652,1.5209767,1.3912183,1.6097816,1.3073039,1.4891974,1.6976794,1.4976444,1.4597338,1.5838923,1.5604774,1.5928758,1.405984,1.9150243,1.5027348,1.6503443,1.438154,1.6076591,1.4990569,1.5660769,1.6747909,1.5940775,1.4403243,1.4920082,1.813135,1.5743659,1.0518187,1.0313969,1.0740604,1.0387803,1.1579705,1.08889,1.087919,1.2406921,1.0392039,1.1235625,1.1588432,1.0329534,1.0928522,1.1107382,1.112182
"DPYSL4",0.6926479,0.6538212,0.6190349,0.6673955,0.67320853,0.65480787,0.6684028,0.64500594,0.64561456,0.5937732,0.62796813,0.67295486,0.7139941,0.69513375,0.6382326,0.6195016,0.6936938,0.6322446,0.8173333,0.6867969,0.606101,0.58356357,0.6560434,0.64890933,0.651115,0.6126492,0.68022555,0.79980385,0.68550366,0.6341545,0.6655113,0.6305781,0.6525896,0.67080116,0.650379,0.62525094,0.6601376,0.62513334,0.6836965,1,0.8648802,1.0230731,0.78983474,0.8218034,0.8372295,0.76469994,0.90644825,0.7866335,0.8982825,0.83712703,0.8630883,0.80326825,0.8844501,0.94625956
"HOXA7",0.6686219,0.63916427,0.66460043,0.8300256,0.7106018,0.723716,0.7361004,0.70712686,0.6602297,0.60447353,0.718821,0.82955664,0.82115406,0.71814376,0.857867,0.5981254,0.7362391,0.6429105,0.68779945,0.7685752,0.68779945,0.6729216,0.72262543,0.70313925,0.7351296,0.5979,0.7656833,0.70207936,0.7834978,0.71706134,0.7478503,0.6960174,0.72905666,0.7857162,0.74069417,0.6261637,0.6628486,0.6922225,0.7727891,0.91124594,0.9586499,0.97799927,0.80179745,0.92387354,0.8216082,1,0.9839183,0.9338547,1.0382296,0.9802146,1.0022646,0.99117804,0.8727231,1.1363481
"DUOX1",1.0434735,0.9722506,0.9916879,1.1570418,1.0237926,1.0409191,1.0464284,1.0224421,1.013614,0.97023636,1.0426869,1.1320132,1.0699675,1.2099113,1.0205166,0.9582387,1.0685568,1.0203242,0.9883283,1.0936245,0.99524647,1.0470202,1.0573351,1.0424902,1.0633321,0.9503231,1.0915655,1.0151436,1.1199139,0.96059006,1.0736057,0.9995714,1.0278537,1.0750226,1.067953,0.9689566,0.9933723,0.9958097,1.0438668,0.8137301,0.83517814,0.8178822,0.89680356,0.80139863,0.9361599,0.83454853,0.82252187,0.80049235,0.8592949,0.81819093,0.8882845,0.838491,0.9540403,0.860592
"METTL26",0.7646386,0.7129852,0.7440196,0.9182424,0.7682511,0.787312,0.7937205,0.7819864,0.7430384,0.7047,0.7856812,0.8019934,0.8273326,0.75889415,0.76622605,0.7139263,0.8097414,0.77377445,0.7476753,0.83674407,0.75205785,0.80471957,0.7991256,0.78242934,0.7892442,0.6667037,0.8242196,0.7752345,0.8356407,0.7345422,0.8118817,0.7493688,0.7827242,0.84546494,0.8141807,0.7162184,0.75134933,0.74739355,0.80958897,0.5790176,0.5924893,0.5806568,0.66704583,0.5469726,0.71500975,0.6127089,0.5856045,0.555703,0.6122472,0.58615637,0.61723036,0.6006995,0.72358304,0.60673183
"RAE1",5.617829,5.428342,4.3975673,5.093227,5.7139587,5.331985,7.5471907,7.608617,5.069282,4.1144357,7.175342,6.810252,3.3609183,8.173696,4.762619,7.7140574,6.607891,5.251181,3.756337,10.495063,3.8459105,3.4068515,8.025584,9.256701,7.6633244,5.867886,10.420153,7.6864696,9.044523,4.128423,9.012188,5.6157103,5.9750495,8.978258,10.2294,5.1911387,5.067371,3.8430123,6.138326,0.85519487,0.7026693,0.711466,0.67262954,0.6406668,0.9299284,0.7504562,0.8045215,0.75599414,1.1187605,0.62045866,0.628346,0.9650435,1.4746716,0.5298872
"WDR90",0.68599653,0.61959714,0.57697976,0.68367267,0.6514608,0.6601148,0.6987885,0.8157652,0.6226416,0.6141312,0.6863849,0.70301735,0.65688694,0.64949846,0.79751784,0.5381045,0.6761103,0.6592443,0.63329613,0.79511565,0.6588714,0.617964,0.74070513,0.6680018,0.67560107,0.6082548,0.7456089,0.64717597,0.70980906,0.61668366,0.7260504,0.84983087,0.6122816,0.68135655,0.79346865,0.57741475,0.63425237,0.59252244,0.69563407,0.8987797,0.82692164,0.8979323,0.808391,0.8120907,0.8580351,0.86780936,0.8942168,0.8601539,0.93754745,0.9305038,0.9066075,0.915194,0.8829018,0.92700225
"ESR1",0.7987408,0.7518374,0.7638382,0.8205668,0.781905,0.79708594,0.8085888,0.7857466,0.78175765,0.73793507,0.7976873,0.8861747,0.779256,0.7596735,0.77646995,0.7478789,0.79994625,0.79393643,0.75938696,0.8517755,0.7568146,0.7425404,0.8075224,0.8013048,0.8038771,0.73974603,0.8277144,0.8034223,0.8322517,0.6790645,0.8127157,0.7588146,0.8130214,0.81210244,0.81532407,0.74999684,0.75967366,0.7582428,0.7988915,0.943588,0.9446559,0.9270131,0.9382968,0.8996387,0.7659021,0.9176241,0.9271889,0.9004865,0.98150927,0.9257909,0.945012,0.94181055,1.0421834,0.95919204
"PIF1",0.5621395,0.5355526,0.58187175,0.61052775,0.5574958,0.5651146,0.57326984,0.566501,0.52902997,0.5399117,0.6924657,0.5778271,0.57068187,0.5391996,0.5528905,0.5232766,0.57663,0.63830465,0.5511211,0.55341166,0.5341409,0.5273372,0.5735942,0.56650144,0.57326996,0.51321375,0.5820914,0.55330735,0.6017293,0.5255506,0.66021264,0.53818417,0.56192744,0.57913554,0.57111245,0.5011663,0.53343654,0.53879344,0.56405026,0.43378207,0.47666055,0.43698287,0.4044021,0.5019301,0.46685272,0.45130005,0.4364893,0.42351943,0.45660606,0.42041686,0.444042,0.44479603,0.4361954,0.45181075
"NECTIN4",1.2107526,1.0548837,1.067286,1.1482816,1.09253,1.1070434,1.1287501,1.100177,1.0917065,1.0338174,1.1133224,1.4406047,1.1319466,1.0666826,1.2746984,0.99687755,1.1332276,1.0993483,1.0594674,1.1827768,1.0604665,1.0353781,1.1293886,1.1185819,1.1315199,1.0318702,1.1580651,1.0851399,1.2809616,1.0168077,1.1422368,1.0590682,1.1129024,1.145039,1.1409451,1.0426253,1.0540887,1.0608668,1.1508828,1.4109738,1.4291781,1.404868,1.1898587,1.3693074,1.2737277,1.4061934,1.4032815,1.3574828,1.6677936,1.3966818,1.4307954,1.4286387,1.2926638,1.4478908
"DNAAF8",0.81116724,0.8165376,0.7984228,0.9162245,0.9432152,0.8371122,0.8803277,0.8593382,0.8421777,0.7994773,0.84519964,0.97356683,0.8878277,0.82722855,0.941794,0.72975713,0.86813176,0.8374278,0.8377437,0.9043832,0.8252034,0.93049866,0.8707544,0.86404985,0.8831538,0.7763071,0.921769,0.8399573,0.91484404,0.9433929,0.87718034,0.8182325,0.98910695,0.87916654,0.8737142,0.80659246,0.75324035,0.8278526,0.9361292,0.58965015,0.5784196,0.58159024,0.5918902,0.5708369,0.5975165,0.6465935,0.5863248,0.5524147,0.6203244,0.58400774,0.5886503,0.599853,0.63097817,1.0196291
"ZNF345",0.5259284,0.48442766,0.48442766,0.5516214,0.5399943,0.56403005,0.5424431,0.528612,0.7020363,0.499545,0.5497526,0.5417278,0.7868536,0.5546455,0.53553367,0.461342,0.5409112,0.5388756,0.7097545,0.56744295,0.5102049,0.5719541,0.55600643,0.51271194,0.5565309,0.4699451,0.5404018,0.62271136,0.5848205,0.53502876,0.5623317,0.60057425,0.5902475,0.54593104,0.5628618,0.5707688,0.4987924,0.51678777,0.5149399,0.7517917,0.70498186,0.87846845,0.96517843,0.6925991,0.777332,0.752217,0.7328996,0.67341405,0.7662437,0.72397286,0.82626027,0.6813315,0.9261788,0.92748445
